Timestamp,Do you usually take notes on a laptop/tablet (vs paper)?,How many siblings do you have?,What is your one-way commute time to campus in minutes? (write the number only),How many minutes do you spend on your phone for a day? (write the number only)
2026/02/25 9:02:37 AM EST,Yes,1,15,120
2026/02/25 9:02:45 AM EST,Yes,1,20,
2026/02/25 9:02:47 AM EST,Yes,,,
2026/02/25 9:02:56 AM EST,No,3+,35,90
2026/02/25 9:03:02 AM EST,Yes,3+,20,250
2026/02/25 9:03:04 AM EST,Yes,2,20,6
2026/02/25 9:03:08 AM EST,Yes,2,7,360
2026/02/25 9:03:09 AM EST,Yes,,15,45
2026/02/25 9:03:12 AM EST,No,1,5,240
2026/02/25 9:03:15 AM EST,Yes,,10,24
2026/02/25 9:03:21 AM EST,No,2,15,200
2026/02/25 9:03:26 AM EST,Yes,1,5,120
2026/02/25 9:03:28 AM EST,Yes,1,5,
2026/02/25 9:03:30 AM EST,Yes,,,
2026/02/25 9:03:36 AM EST,Yes,2,,
2026/02/25 9:03:37 AM EST,Yes,1,15,300
2026/02/25 9:03:38 AM EST,No,1,5,200
2026/02/25 9:03:44 AM EST,Yes,3+,0,120
2026/02/25 9:03:48 AM EST,Yes,3+,,180
2026/02/25 9:03:49 AM EST,Yes,1,0,396
2026/02/25 9:04:03 AM EST,No,1,10,80
2026/02/25 9:04:05 AM EST,Yes,1,20,270
2026/02/25 9:04:10 AM EST,Yes,1,15,240
2026/02/25 9:04:38 AM EST,Yes,1,0,400
2026/02/25 9:04:40 AM EST,Yes,,30,120
2026/02/25 9:04:45 AM EST,Yes,1,2,200
2026/02/25 9:04:47 AM EST,Yes,1,20,200
2026/02/25 9:04:54 AM EST,Yes,1,15,200
2026/02/25 9:05:15 AM EST,No,2,10,150
2026/02/25 9:05:37 AM EST,No,,10,180
2026/02/25 9:06:20 AM EST,Yes,1,15,180
2026/02/25 9:06:51 AM EST,Yes,1,10,120
2026/02/25 9:06:52 AM EST,Yes,,20,80
2026/02/26 9:10:21 AM EST,Yes,1,50,180
2026/02/26 9:10:27 AM EST,Yes,,,
2026/02/26 9:10:34 AM EST,Yes,2,5,115
2026/02/26 9:10:39 AM EST,Yes,1,0,120
2026/02/26 9:10:43 AM EST,Yes,3+,,
2026/02/26 9:10:43 AM EST,Yes,,10,
2026/02/26 9:10:44 AM EST,,1,0,
2026/02/26 9:10:44 AM EST,No,3+,,150
2026/02/26 9:10:46 AM EST,Yes,3+,5,180
2026/02/26 9:10:51 AM EST,Yes,2,5,180
2026/02/26 9:10:53 AM EST,Yes,3+,10,500
2026/02/26 9:10:57 AM EST,No,2,15,180
2026/02/26 9:10:57 AM EST,Yes,3+,10,215
2026/02/26 9:10:58 AM EST,Yes,1,1,420
2026/02/26 9:10:59 AM EST,Yes,1,15,75
2026/02/26 9:11:00 AM EST,No,3+,5,120
2026/02/26 9:11:05 AM EST,No,1,0,100
2026/02/26 9:11:05 AM EST,Yes,3+,20,120
2026/02/26 9:11:12 AM EST,Yes,1,30,300
2026/02/26 9:11:12 AM EST,No,,0,300
2026/02/26 9:11:14 AM EST,Yes,1,5,120
2026/02/26 9:11:21 AM EST,Yes,2,0,120
2026/02/26 9:11:23 AM EST,Yes,1,15,180
2026/02/26 9:11:23 AM EST,No,3+,15,180
2026/02/26 9:11:26 AM EST,Yes,1,9,180
2026/02/26 9:11:30 AM EST,No,0,15,250
2026/02/26 9:11:33 AM EST,Yes,1,,240
2026/02/26 9:11:36 AM EST,Yes,,,11
2026/02/26 9:11:37 AM EST,Yes,2,20,240
2026/02/26 9:11:39 AM EST,Yes,1,5,240
2026/02/26 9:11:41 AM EST,Yes,2,15,60
2026/02/26 9:11:46 AM EST,,,,
2026/02/26 9:11:49 AM EST,Yes,,20,180
2026/02/26 9:11:51 AM EST,Yes,1,30,30
2026/02/26 9:12:00 AM EST,Yes,3+,30,180
2026/02/26 9:12:17 AM EST,Yes,,0,360
2026/02/26 9:12:31 AM EST,Yes,0,8,120
2026/02/26 9:12:31 AM EST,Yes,1,,198
2026/02/26 9:12:42 AM EST,No,1,1,110
2026/02/26 9:12:46 AM EST,Yes,3+,15,120
2026/02/26 9:13:05 AM EST,No,3+,15,
2026/02/26 9:13:06 AM EST,No,1,0,120
2026/02/26 9:13:07 AM EST,Yes,0,,
