OBJECTID,SenateGEOID,SenateName,ELANumAssessed_Calc,ELATotalMet_Calc,ELATotalNotMet_Calc,MATHNumAssessed_Calc,MATHTotalMet_Calc,MATHTotalNotMet_Calc,ELAPctMet_Calc,MATHPctMet_Calc,Shape__Area,Shape__Length
1,26001,State Senate District 1,2769,875,1894,2762,929,1833,0.315998555435175,0.336350470673425,0.0278552169527302,1.41457099712733
2,26002,State Senate District 2,3369,825,2544,3413,908,2505,0.244879786286732,0.266041605625549,0.0219876373864736,1.34688099105071
3,26003,State Senate District 3,3207,884,2323,3266,1050,2216,0.275647022139071,0.321494182486222,0.0156229143574365,0.886054057275062
4,26004,State Senate District 4,2041,503,1538,2041,512,1529,0.246447819696227,0.250857422831945,0.0133994286948109,1.2322054722853
5,26005,State Senate District 5,2831,785,2046,2853,804,2049,0.277287177675733,0.281808622502629,0.0145377573321639,1.11635718903336
6,26006,State Senate District 6,2630,953,1677,2633,1011,1622,0.362357414448669,0.383972654766426,0.0645427019719591,1.90441214015038
7,26007,State Senate District 7,3194,1759,1435,3201,1913,1288,0.550720100187852,0.597625741955639,0.0322359224778666,0.97462423590882
8,26008,State Senate District 8,2675,1358,1317,2688,1472,1216,0.507663551401869,0.547619047619048,0.0740171101140277,2.14048322334011
9,26009,State Senate District 9,2897,817,2080,2899,835,2064,0.282015878494995,0.288030355294929,0.0181908721185664,0.679060287297739
10,26010,State Senate District 10,2725,1349,1376,2724,1579,1145,0.495045871559633,0.579662261380323,0.0263369872609474,0.988413984873691
11,26011,State Senate District 11,2547,903,1644,2572,940,1632,0.354534746760895,0.36547433903577,0.0241773019108678,1.04804557414457
12,26012,State Senate District 12,3128,1682,1446,3142,1838,1304,0.53772378516624,0.58497772119669,0.0722729346998676,1.87842101892229
13,26013,State Senate District 13,2640,1670,970,2668,1793,875,0.632575757575758,0.672038980509745,0.027504121901984,1.01072668886031
14,26014,State Senate District 14,3013,1468,1545,3021,1501,1520,0.487222037836044,0.49685534591195,0.115585777992237,2.49332458261095
15,26015,State Senate District 15,2796,1568,1228,2837,1799,1038,0.560801144492132,0.63412054987663,0.0616478969120635,1.2685215027929
16,26016,State Senate District 16,2262,947,1315,2272,948,1324,0.418656056587091,0.417253521126761,0.521032479722635,3.78481363671824
17,26017,State Senate District 17,2598,1249,1349,2600,1285,1315,0.480754426481909,0.494230769230769,0.405077892126656,3.08348647420162
18,26018,State Senate District 18,2586,1276,1310,2612,1423,1189,0.493426140757927,0.5447932618683,0.072391931713355,1.33304005948328
19,26019,State Senate District 19,2692,1150,1542,2697,1202,1495,0.427191679049034,0.445680385613645,0.532567598044579,4.22462146930527
20,26020,State Senate District 20,2611,1267,1344,2620,1347,1273,0.485254691689008,0.51412213740458,0.163946131184957,1.63551360185495
21,26021,State Senate District 21,2856,1124,1732,2865,1292,1573,0.393557422969188,0.450959860383944,0.734380198009831,4.69070675620005
22,26022,State Senate District 22,2357,1401,956,2356,1499,857,0.59439966058549,0.636247877758913,0.298052704451266,2.53867364989117
23,26023,State Senate District 23,2670,1207,1463,2703,1350,1353,0.452059925093633,0.499445061043285,0.121941872732123,1.61307742911852
24,26024,State Senate District 24,2403,1203,1200,2399,1206,1193,0.500624219725343,0.502709462275948,0.520632335357277,4.067334313546
25,26025,State Senate District 25,2611,1244,1367,2617,1227,1390,0.476445806204519,0.468857470385938,1.34070961108068,5.91325584034005
26,26026,State Senate District 26,3159,1659,1500,3169,1713,1456,0.525166191832859,0.540549069106974,0.84507136331581,4.88931469448264
27,26027,State Senate District 27,2365,641,1724,2366,663,1703,0.271035940803383,0.28021978021978,0.0834888032331946,1.40075790498185
28,26028,State Senate District 28,3179,1596,1583,3187,1807,1380,0.502044668134634,0.566990900533417,0.163490565801339,2.51368420770738
29,26029,State Senate District 29,3064,1358,1706,3084,1385,1699,0.443211488250653,0.449092088197147,0.0697624036008619,1.69051026423621
30,26030,State Senate District 30,3151,1968,1183,3160,1989,1171,0.624563630593462,0.629430379746835,0.466054029177485,3.47748632128076
31,26031,State Senate District 31,2108,922,1186,2110,951,1159,0.437381404174573,0.450710900473934,0.63563323286121,4.45379089396505
32,26032,State Senate District 32,2555,1080,1475,2559,1165,1394,0.422700587084149,0.455255959359125,0.293668346659388,3.32858419632736
33,26033,State Senate District 33,2191,887,1304,2193,984,1209,0.404837973528069,0.448700410396717,0.870428726482032,4.47602542901738
34,26034,State Senate District 34,2542,962,1580,2544,993,1551,0.378442171518489,0.390330188679245,1.04532429992219,4.49016813463061
35,26035,State Senate District 35,2200,898,1302,2200,983,1217,0.408181818181818,0.446818181818182,3.07851101272536,10.8885241805452
36,26036,State Senate District 36,2092,996,1096,2106,1024,1082,0.476099426386233,0.486229819563153,3.3370008038471,10.715883018339
37,26037,State Senate District 37,2317,1126,1191,2315,1154,1161,0.48597324126025,0.498488120950324,3.32774337820729,10.3030009795024
38,26038,State Senate District 38,2041,965,1076,2046,1040,1006,0.47280744732974,0.50830889540567,8.98199858721409,14.6537596983651
