SenateGEOID,ELANumAssessed_Calc,ELATotalMet_Calc,ELATotalNotMet_Calc,MATHNumAssessed_Calc,MATHTotalMet_Calc,MATHTotalNotMet_Calc,ELAPctMet_Calc,MATHPctMet_Calc
26001,2769,875,1894,2762,929,1833,0.315998555435175,0.336350470673425
26002,3369,825,2544,3413,908,2505,0.244879786286732,0.266041605625549
26003,3207,884,2323,3266,1050,2216,0.275647022139071,0.321494182486222
26004,2041,503,1538,2041,512,1529,0.246447819696227,0.250857422831945
26005,2831,785,2046,2853,804,2049,0.277287177675733,0.281808622502629
26006,2630,953,1677,2633,1011,1622,0.362357414448669,0.383972654766426
26007,3194,1759,1435,3201,1913,1288,0.550720100187852,0.597625741955639
26008,2675,1358,1317,2688,1472,1216,0.507663551401869,0.547619047619048
26009,2897,817,2080,2899,835,2064,0.282015878494995,0.288030355294929
26010,2725,1349,1376,2724,1579,1145,0.495045871559633,0.579662261380323
26011,2547,903,1644,2572,940,1632,0.354534746760895,0.36547433903577
26012,3128,1682,1446,3142,1838,1304,0.53772378516624,0.58497772119669
26013,2640,1670,970,2668,1793,875,0.632575757575758,0.672038980509745
26014,3013,1468,1545,3021,1501,1520,0.487222037836044,0.49685534591195
26015,2796,1568,1228,2837,1799,1038,0.560801144492132,0.63412054987663
26016,2262,947,1315,2272,948,1324,0.418656056587091,0.417253521126761
26017,2598,1249,1349,2600,1285,1315,0.480754426481909,0.494230769230769
26018,2586,1276,1310,2612,1423,1189,0.493426140757927,0.5447932618683
26019,2692,1150,1542,2697,1202,1495,0.427191679049034,0.445680385613645
26020,2611,1267,1344,2620,1347,1273,0.485254691689008,0.51412213740458
26021,2856,1124,1732,2865,1292,1573,0.393557422969188,0.450959860383944
26022,2357,1401,956,2356,1499,857,0.59439966058549,0.636247877758913
26023,2670,1207,1463,2703,1350,1353,0.452059925093633,0.499445061043285
26024,2403,1203,1200,2399,1206,1193,0.500624219725343,0.502709462275948
26025,2611,1244,1367,2617,1227,1390,0.476445806204519,0.468857470385938
26026,3159,1659,1500,3169,1713,1456,0.525166191832859,0.540549069106974
26027,2365,641,1724,2366,663,1703,0.271035940803383,0.28021978021978
26028,3179,1596,1583,3187,1807,1380,0.502044668134634,0.566990900533417
26029,3064,1358,1706,3084,1385,1699,0.443211488250653,0.449092088197147
26030,3151,1968,1183,3160,1989,1171,0.624563630593462,0.629430379746835
26031,2108,922,1186,2110,951,1159,0.437381404174573,0.450710900473934
26032,2555,1080,1475,2559,1165,1394,0.422700587084149,0.455255959359125
26033,2191,887,1304,2193,984,1209,0.404837973528069,0.448700410396717
26034,2542,962,1580,2544,993,1551,0.378442171518489,0.390330188679245
26035,2200,898,1302,2200,983,1217,0.408181818181818,0.446818181818182
26036,2092,996,1096,2106,1024,1082,0.476099426386233,0.486229819563153
26037,2317,1126,1191,2315,1154,1161,0.48597324126025,0.498488120950324
26038,2041,965,1076,2046,1040,1006,0.47280744732974,0.50830889540567
